Date,Site ID,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,STATE
2020-04-04,110010041,0.053,ppm,49,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-04,110010041,0.049,ppm,45,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-04,110010041,0.045,ppm,42,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-04,110010041,0.054,ppm,50,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-04,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-04,110010041,0.023,ppm,21,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-04,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-04,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-05,110010041,0.014,ppm,13,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-05,110010041,0.017,ppm,16,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-05,110010041,0.031,ppm,29,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-05,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-05,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-05,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-05,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-05,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-05,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-05,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-05,110010041,0.045,ppm,42,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-05,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-06,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-06,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-06,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-06,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-06,110010041,0.064,ppm,80,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-06,110010041,0.055,ppm,51,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-06,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-06,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-06,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-06,110010041,0.046,ppm,43,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-06,110010041,0.023,ppm,21,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-06,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-07,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-07,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-07,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-07,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-07,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-07,110010041,0.049,ppm,45,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-07,110010041,0.05,ppm,46,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-07,110010041,0.028,ppm,26,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-07,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-07,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-07,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-08,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-08,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-08,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-08,110010041,0.048,ppm,44,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-08,110010041,0.059,ppm,64,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-08,110010041,0.056,ppm,54,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-08,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-08,110010041,0.053,ppm,49,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-08,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-08,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-08,110010041,0.033,ppm,31,RIVER TERRACE,16,94,44201,Ozone,District Of Columbia
2020-12-08,110010041,0.046,ppm,43,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-09,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-09,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-09,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-09,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-09,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-09,110010041,0.046,ppm,43,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-09,110010041,0.053,ppm,49,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-09,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-09,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-09,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-09,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-09,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-10,110010041,0.031,ppm,29,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-10,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-10,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-10,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-10,110010041,0.024,ppm,22,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-10,110010041,0.024,ppm,22,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-10,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-10,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-10,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-10,110010041,0.024,ppm,22,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
